realtime_start,realtime_end,date,value,QoQ
2025-09-25,2025-09-25,2000-01-01,1052.904,
2025-09-25,2025-09-25,2000-04-01,1093.36,3.84
2025-09-25,2025-09-25,2000-07-01,1125.002,2.89
2025-09-25,2025-09-25,2000-10-01,1113.177,-1.05
2025-09-25,2025-09-25,2001-01-01,1096.812,-1.47
2025-09-25,2025-09-25,2001-04-01,1058.013,-3.54
2025-09-25,2025-09-25,2001-07-01,998.902,-5.59
2025-09-25,2025-09-25,2001-10-01,953.52,-4.54
2025-09-25,2025-09-25,2002-01-01,969.157,1.64
2025-09-25,2025-09-25,2002-04-01,1004.154,3.61
2025-09-25,2025-09-25,2002-07-01,1015.56,1.14
2025-09-25,2025-09-25,2002-10-01,1003.046,-1.23
2025-09-25,2025-09-25,2003-01-01,1004.201,0.12
2025-09-25,2025-09-25,2003-04-01,1007.465,0.33
2025-09-25,2025-09-25,2003-07-01,1037.31,2.96
2025-09-25,2025-09-25,2003-10-01,1091.682,5.24
2025-09-25,2025-09-25,2004-01-01,1133.669,3.85
2025-09-25,2025-09-25,2004-04-01,1170.152,3.22
2025-09-25,2025-09-25,2004-07-01,1180.185,0.86
2025-09-25,2025-09-25,2004-10-01,1221.444,3.5
2025-09-25,2025-09-25,2005-01-01,1258.408,3.03
2025-09-25,2025-09-25,2005-04-01,1294.853,2.9
2025-09-25,2025-09-25,2005-07-01,1302.315,0.58
2025-09-25,2025-09-25,2005-10-01,1350.743,3.72
2025-09-25,2025-09-25,2006-01-01,1413.966,4.68
2025-09-25,2025-09-25,2006-04-01,1459.767,3.24
2025-09-25,2025-09-25,2006-07-01,1475.417,1.07
2025-09-25,2025-09-25,2006-10-01,1531.531,3.8
2025-09-25,2025-09-25,2007-01-01,1577.991,3.03
2025-09-25,2025-09-25,2007-04-01,1622.764,2.84
2025-09-25,2025-09-25,2007-07-01,1685.71,3.88
2025-09-25,2025-09-25,2007-10-01,1750.714,3.86
2025-09-25,2025-09-25,2008-01-01,1813.321,3.58
2025-09-25,2025-09-25,2008-04-01,1905.282,5.07
2025-09-25,2025-09-25,2008-07-01,1922.215,0.89
2025-09-25,2025-09-25,2008-10-01,1700.304,-11.54
2025-09-25,2025-09-25,2009-01-01,1511.768,-11.09
2025-09-25,2025-09-25,2009-04-01,1521.093,0.62
2025-09-25,2025-09-25,2009-07-01,1594.725,4.84
2025-09-25,2025-09-25,2009-10-01,1703.508,6.82
2025-09-25,2025-09-25,2010-01-01,1759.877,3.31
2025-09-25,2025-09-25,2010-04-01,1819.741,3.4
2025-09-25,2025-09-25,2010-07-01,1877.253,3.16
2025-09-25,2025-09-25,2010-10-01,1972.116,5.05
2025-09-25,2025-09-25,2011-01-01,2040.407,3.46
2025-09-25,2025-09-25,2011-04-01,2116.132,3.71
2025-09-25,2025-09-25,2011-07-01,2156.793,1.92
2025-09-25,2025-09-25,2011-10-01,2150.123,-0.31
2025-09-25,2025-09-25,2012-01-01,2189.981,1.85
2025-09-25,2025-09-25,2012-04-01,2215.586,1.17
2025-09-25,2025-09-25,2012-07-01,2227.734,0.55
2025-09-25,2025-09-25,2012-10-01,2237.498,0.44
2025-09-25,2025-09-25,2013-01-01,2255.929,0.82
2025-09-25,2025-09-25,2013-04-01,2261.403,0.24
2025-09-25,2025-09-25,2013-07-01,2285.116,1.05
2025-09-25,2025-09-25,2013-10-01,2349.24,2.81
2025-09-25,2025-09-25,2014-01-01,2343.602,-0.24
2025-09-25,2025-09-25,2014-04-01,2395.168,2.2
2025-09-25,2025-09-25,2014-07-01,2399.191,0.17
2025-09-25,2025-09-25,2014-10-01,2376.218,-0.96
2025-09-25,2025-09-25,2015-01-01,2299.045,-3.25
2025-09-25,2025-09-25,2015-04-01,2300.441,0.06
2025-09-25,2025-09-25,2015-07-01,2260.724,-1.73
2025-09-25,2025-09-25,2015-10-01,2222.279,-1.7
2025-09-25,2025-09-25,2016-01-01,2181.957,-1.81
2025-09-25,2025-09-25,2016-04-01,2221.936,1.83
2025-09-25,2025-09-25,2016-07-01,2270.0,2.16
2025-09-25,2025-09-25,2016-10-01,2268.339,-0.07
2025-09-25,2025-09-25,2017-01-01,2339.728,3.15
2025-09-25,2025-09-25,2017-04-01,2349.681,0.43
2025-09-25,2025-09-25,2017-07-01,2384.524,1.48
2025-09-25,2025-09-25,2017-10-01,2479.107,3.97
2025-09-25,2025-09-25,2018-01-01,2517.268,1.54
2025-09-25,2025-09-25,2018-04-01,2562.172,1.78
2025-09-25,2025-09-25,2018-07-01,2535.501,-1.04
2025-09-25,2025-09-25,2018-10-01,2537.415,0.08
2025-09-25,2025-09-25,2019-01-01,2540.244,0.11
2025-09-25,2025-09-25,2019-04-01,2547.448,0.28
2025-09-25,2025-09-25,2019-07-01,2532.405,-0.59
2025-09-25,2025-09-25,2019-10-01,2537.466,0.2
2025-09-25,2025-09-25,2020-01-01,2416.181,-4.78
2025-09-25,2025-09-25,2020-04-01,1814.401,-24.91
2025-09-25,2025-09-25,2020-07-01,2105.083,16.02
2025-09-25,2025-09-25,2020-10-01,2268.891,7.78
2025-09-25,2025-09-25,2021-01-01,2381.224,4.95
2025-09-25,2025-09-25,2021-04-01,2505.032,5.2
2025-09-25,2025-09-25,2021-07-01,2570.103,2.6
2025-09-25,2025-09-25,2021-10-01,2765.36,7.6
2025-09-25,2025-09-25,2022-01-01,2848.698,3.01
2025-09-25,2025-09-25,2022-04-01,3071.551,7.82
2025-09-25,2025-09-25,2022-07-01,3102.55,1.01
2025-09-25,2025-09-25,2022-10-01,3046.718,-1.8
2025-09-25,2025-09-25,2023-01-01,3060.562,0.45
2025-09-25,2025-09-25,2023-04-01,2995.524,-2.13
2025-09-25,2025-09-25,2023-07-01,3062.041,2.22
2025-09-25,2025-09-25,2023-10-01,3091.748,0.97
2025-09-25,2025-09-25,2024-01-01,3125.421,1.09
2025-09-25,2025-09-25,2024-04-01,3154.321,0.92
2025-09-25,2025-09-25,2024-07-01,3220.292,2.09
2025-09-25,2025-09-25,2024-10-01,3220.929,0.02
2025-09-25,2025-09-25,2025-01-01,3266.413,1.41
