realtime_start,realtime_end,date,value,QoQ
2025-09-25,2025-09-25,2000-01-01,1409.487,
2025-09-25,2025-09-25,2000-04-01,1455.86,3.29
2025-09-25,2025-09-25,2000-07-01,1518.869,4.33
2025-09-25,2025-09-25,2000-10-01,1524.52,0.37
2025-09-25,2025-09-25,2001-01-01,1499.464,-1.64
2025-09-25,2025-09-25,2001-04-01,1422.028,-5.16
2025-09-25,2025-09-25,2001-07-01,1369.536,-3.69
2025-09-25,2025-09-25,2001-10-01,1323.208,-3.38
2025-09-25,2025-09-25,2002-01-01,1356.041,2.48
2025-09-25,2025-09-25,2002-04-01,1432.413,5.63
2025-09-25,2025-09-25,2002-07-01,1463.107,2.14
2025-09-25,2025-09-25,2002-10-01,1499.335,2.48
2025-09-25,2025-09-25,2003-01-01,1529.463,2.01
2025-09-25,2025-09-25,2003-04-01,1527.336,-0.14
2025-09-25,2025-09-25,2003-07-01,1556.304,1.9
2025-09-25,2025-09-25,2003-10-01,1615.376,3.8
2025-09-25,2025-09-25,2004-01-01,1699.644,5.22
2025-09-25,2025-09-25,2004-04-01,1787.734,5.18
2025-09-25,2025-09-25,2004-07-01,1832.856,2.52
2025-09-25,2025-09-25,2004-10-01,1921.78,4.85
2025-09-25,2025-09-25,2005-01-01,1955.063,1.73
2025-09-25,2025-09-25,2005-04-01,2002.063,2.4
2025-09-25,2025-09-25,2005-07-01,2053.275,2.56
2025-09-25,2025-09-25,2005-10-01,2155.529,4.98
2025-09-25,2025-09-25,2006-01-01,2204.784,2.29
2025-09-25,2025-09-25,2006-04-01,2253.809,2.22
2025-09-25,2025-09-25,2006-07-01,2298.702,1.99
2025-09-25,2025-09-25,2006-10-01,2269.198,-1.28
2025-09-25,2025-09-25,2007-01-01,2317.264,2.12
2025-09-25,2025-09-25,2007-04-01,2368.569,2.21
2025-09-25,2025-09-25,2007-07-01,2414.664,1.95
2025-09-25,2025-09-25,2007-10-01,2480.413,2.72
2025-09-25,2025-09-25,2008-01-01,2584.568,4.2
2025-09-25,2025-09-25,2008-04-01,2681.686,3.76
2025-09-25,2025-09-25,2008-07-01,2709.569,1.04
2025-09-25,2025-09-25,2008-10-01,2328.779,-14.05
2025-09-25,2025-09-25,2009-01-01,1932.761,-17.01
2025-09-25,2025-09-25,2009-04-01,1879.461,-2.76
2025-09-25,2025-09-25,2009-07-01,2018.722,7.41
2025-09-25,2025-09-25,2009-10-01,2176.763,7.83
2025-09-25,2025-09-25,2010-01-01,2269.069,4.24
2025-09-25,2025-09-25,2010-04-01,2362.255,4.11
2025-09-25,2025-09-25,2010-07-01,2431.195,2.92
2025-09-25,2025-09-25,2010-10-01,2495.702,2.65
2025-09-25,2025-09-25,2011-01-01,2608.884,4.54
2025-09-25,2025-09-25,2011-04-01,2697.224,3.39
2025-09-25,2025-09-25,2011-07-01,2723.903,0.99
2025-09-25,2025-09-25,2011-10-01,2751.911,1.03
2025-09-25,2025-09-25,2012-01-01,2792.253,1.47
2025-09-25,2025-09-25,2012-04-01,2780.827,-0.41
2025-09-25,2025-09-25,2012-07-01,2750.817,-1.08
2025-09-25,2025-09-25,2012-10-01,2753.373,0.09
2025-09-25,2025-09-25,2013-01-01,2755.277,0.07
2025-09-25,2025-09-25,2013-04-01,2759.783,0.16
2025-09-25,2025-09-25,2013-07-01,2767.183,0.27
2025-09-25,2025-09-25,2013-10-01,2783.259,0.58
2025-09-25,2025-09-25,2014-01-01,2853.69,2.53
2025-09-25,2025-09-25,2014-04-01,2900.572,1.64
2025-09-25,2025-09-25,2014-07-01,2888.549,-0.41
2025-09-25,2025-09-25,2014-10-01,2906.969,0.64
2025-09-25,2025-09-25,2015-01-01,2825.476,-2.8
2025-09-25,2025-09-25,2015-04-01,2809.968,-0.55
2025-09-25,2025-09-25,2015-07-01,2798.806,-0.4
2025-09-25,2025-09-25,2015-10-01,2745.517,-1.9
2025-09-25,2025-09-25,2016-01-01,2693.639,-1.89
2025-09-25,2025-09-25,2016-04-01,2711.306,0.66
2025-09-25,2025-09-25,2016-07-01,2751.229,1.47
2025-09-25,2025-09-25,2016-10-01,2799.145,1.74
2025-09-25,2025-09-25,2017-01-01,2873.148,2.64
2025-09-25,2025-09-25,2017-04-01,2903.18,1.05
2025-09-25,2025-09-25,2017-07-01,2916.022,0.44
2025-09-25,2025-09-25,2017-10-01,3034.004,4.05
2025-09-25,2025-09-25,2018-01-01,3093.299,1.95
2025-09-25,2025-09-25,2018-04-01,3105.995,0.41
2025-09-25,2025-09-25,2018-07-01,3153.747,1.54
2025-09-25,2025-09-25,2018-10-01,3171.622,0.57
2025-09-25,2025-09-25,2019-01-01,3132.539,-1.23
2025-09-25,2025-09-25,2019-04-01,3165.41,1.05
2025-09-25,2025-09-25,2019-07-01,3117.952,-1.5
2025-09-25,2025-09-25,2019-10-01,3050.824,-2.15
2025-09-25,2025-09-25,2020-01-01,2929.759,-3.97
2025-09-25,2025-09-25,2020-04-01,2350.926,-19.76
2025-09-25,2025-09-25,2020-07-01,2801.482,19.17
2025-09-25,2025-09-25,2020-10-01,3027.199,8.06
2025-09-25,2025-09-25,2021-01-01,3176.982,4.95
2025-09-25,2025-09-25,2021-04-01,3340.114,5.13
2025-09-25,2025-09-25,2021-07-01,3458.783,3.55
2025-09-25,2025-09-25,2021-10-01,3685.956,6.57
2025-09-25,2025-09-25,2022-01-01,3925.742,6.51
2025-09-25,2025-09-25,2022-04-01,4093.663,4.28
2025-09-25,2025-09-25,2022-07-01,3988.447,-2.57
2025-09-25,2025-09-25,2022-10-01,3897.402,-2.28
2025-09-25,2025-09-25,2023-01-01,3874.21,-0.6
2025-09-25,2025-09-25,2023-04-01,3799.003,-1.94
2025-09-25,2025-09-25,2023-07-01,3843.132,1.16
2025-09-25,2025-09-25,2023-10-01,3882.899,1.03
2025-09-25,2025-09-25,2024-01-01,3966.989,2.17
2025-09-25,2025-09-25,2024-04-01,4061.192,2.37
2025-09-25,2025-09-25,2024-07-01,4163.975,2.53
2025-09-25,2025-09-25,2024-10-01,4141.013,-0.55
2025-09-25,2025-09-25,2025-01-01,4511.554,8.95
